DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ
20240519,2324,Lorient,95.02152714827484,0.8741176470588236,34,4.500588235294118,0.8000001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,0.8350005,1.67,1.67,2.1714285714285713
20240512,2324,Lorient,95.04037933509332,0.85,33,4.586363636363637,0.8000001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,6.5,1.1180124223602486
20240503,2324,Lorient,95.02934756925791,0.8765625,32,4.526562500000001,1.3000000999999999,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,6.5,1.1180124223602486
20240428,2324,Lorient,95.01760407659444,0.9048387096774193,31,4.462903225806452,1.6750000999999999,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.6,1.4829187396351575
20240424,2324,Lorient,95.03711858020364,0.935,30,4.525,2.0250001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,7.5,1.09375
20240419,2324,Lorient,95.02272455005392,0.9672413793103448,29,4.422413793103448,2.0250001,1.6000002,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.75,1.1305290102389078
20240407,2324,Lorient,95.04220203917903,1.0017857142857143,28,4.375,2.0250001,1.6000002,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.5,1.1981981981981984
20240331,2324,Lorient,95.05767226548735,1.038888888888889,27,4.37037037037037,2.0250001,2.6000001999999998,2.666667,5.000000000165983e-07,5.000000000165983e-07,0.0,4.2,1.2257142857142855
20240317,2324,Lorient,95.06444748386465,1.0788461538461538,26,4.3769230769230765,2.0250001,3.3500001999999998,2.666667,4.0000005,5.000000000165983e-07,0.0,9.0,1.069182389937107
20240309,2324,Lorient,95.04441451501187,1.122,25,4.192,2.0250001,4.0500002,4.333333666666666,4.0000005,4.0000005,0.0,3.3,1.3357142857142856
20240303,2324,Lorient,95.0427340463577,1.16875,24,4.229166666666667,1.2250001,2.4500002,2.916667,2.5000005,4.0000005,8.0,8.0,1.08130081300813
20240224,2324,Lorient,95.03349866936892,0.8717391304347826,23,4.065217391304348,1.2250001,2.4500002,4.083333666666666,4.3750005,2.5000005,0.0,2.6,1.4933333333333332
20240218,2324,Lorient,95.04168405454752,0.9113636363636364,22,4.131818181818182,0.7250000999999999,1.4500001999999999,2.416667,3.6250005,4.3750005,5.0,5.0,1.1745454545454546
20240211,2324,Lorient,95.03834061197142,0.7166666666666667,21,4.090476190476191,0.3500001,0.7000002,1.166667,1.7500004999999998,3.6250005,3.75,3.75,1.2927927927927927
20240204,2324,Lorient,94.98342423479866,0.565,20,4.1075,9.999999997489795e-08,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.7500004999999998,3.5,3.5,1.3037383177570094
20240128,2324,Lorient,94.98306380644381,0.4105263157894737,19,4.139473684210526,0.38000009999999995,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.9,1.4228621291448516
20240114,2324,Lorient,94.95695805684892,0.43333333333333335,18,4.208333333333333,0.38000009999999995,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,7.0,1.09375
20231220,2324,Lorient,94.97827355462857,0.4588235294117647,17,4.044117647058823,0.38000009999999995,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.75,1.125925925925926
