Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20140808;2014-08-08;Reims;Paris SG;2;2;D;9.5;4.5;1.36
F1;20140809;2014-08-09;Bastia;Marseille;3;3;D;3.9;3.1;2.05
F1;20140809;2014-08-09;Evian Thonon Gaillard;Caen;0;3;A;2.38;3.2;3
F1;20140809;2014-08-09;Guingamp;St Etienne;0;2;A;3.3;3.1;2.3
F1;20140809;2014-08-09;Lille;Metz;0;0;D;1.5;4.1;6.5
F1;20140809;2014-08-09;Montpellier;Bordeaux;0;1;A;2.3;3.1;3.2
F1;20140809;2014-08-09;Nantes;Lens;1;0;H;2;3.25;3.9
F1;20140809;2014-08-09;Nice;Toulouse;3;2;H;2.63;3.1;2.75
F1;20140810;2014-08-10;Lyon;Rennes;2;0;H;1.8;3.4;4.75
F1;20140810;2014-08-10;Monaco;Lorient;1;2;A;1.4;4.33;8.5
F1;20140815;2014-08-15;Caen;Lille;0;1;A;3.6;3.1;2.15
F1;20140816;2014-08-16;Lens;Guingamp;0;1;A;2.88;3;2.63
F1;20140816;2014-08-16;Lorient;Nice;0;0;D;1.75;3.4;5
F1;20140816;2014-08-16;Metz;Nantes;1;1;D;2.38;3;3.2
F1;20140816;2014-08-16;Paris SG;Bastia;2;0;H;1.13;8;19
F1;20140816;2014-08-16;Rennes;Evian Thonon Gaillard;6;2;H;1.73;3.5;5
F1;20140816;2014-08-16;Toulouse;Lyon;2;1;H;2.5;3.25;2.8
F1;20140817;2014-08-17;Bordeaux;Monaco;4;1;H;2.8;3.2;2.55
F1;20140817;2014-08-17;Marseille;Montpellier;0;2;A;1.55;3.75;6.5
F1;20140817;2014-08-17;St Etienne;Reims;3;1;H;1.5;3.75;7.5
F1;20140822;2014-08-22;Evian Thonon Gaillard;Paris SG;0;0;D;9;4.6;1.36
F1;20140823;2014-08-23;Bastia;Toulouse;1;0;H;2.9;3.1;2.5
F1;20140823;2014-08-23;Guingamp;Marseille;0;1;A;2.9;3.1;2.5
F1;20140823;2014-08-23;Lille;Lorient;2;0;H;1.75;3.4;5
F1;20140823;2014-08-23;Montpellier;Metz;2;0;H;1.85;3.5;4.2
F1;20140823;2014-08-23;Nice;Bordeaux;1;3;A;3.2;3.2;2.3
F1;20140823;2014-08-23;Reims;Caen;0;2;A;2.38;3.25;3
F1;20140824;2014-08-24;Lyon;Lens;0;1;A;1.44;4.33;7
F1;20140824;2014-08-24;Nantes;Monaco;0;1;A;3.5;3.3;2.1
F1;20140824;2014-08-24;St Etienne;Rennes;0;0;D;1.73;3.3;5.5
F1;20140829;2014-08-29;Marseille;Nice;4;0;H;1.5;4;7
F1;20140830;2014-08-30;Caen;Rennes;0;1;A;2.63;3.1;2.75
F1;20140830;2014-08-30;Lens;Reims;4;2;H;2.1;3.2;3.6
F1;20140830;2014-08-30;Lorient;Guingamp;4;0;H;2.1;3.2;3.6
F1;20140830;2014-08-30;Monaco;Lille;1;1;D;1.95;3.2;4.2
F1;20140830;2014-08-30;Nantes;Montpellier;1;0;H;2.25;3.1;3.4
F1;20140830;2014-08-30;Toulouse;Evian Thonon Gaillard;1;0;H;1.75;3.4;5
F1;20140831;2014-08-31;Bordeaux;Bastia;1;1;D;1.62;3.6;6
F1;20140831;2014-08-31;Metz;Lyon;2;1;H;2.8;3.1;2.6
F1;20140831;2014-08-31;Paris SG;St Etienne;5;0;H;1.53;3.8;6.5
F1;20140912;2014-09-12;Lyon;Monaco;2;1;H;2.5;3.1;2.9
F1;20140913;2014-09-13;Bastia;Lens;1;1;D;1.95;3.2;4.2
F1;20140913;2014-09-13;Montpellier;Lorient;1;0;H;2.05;3.1;3.9
F1;20140913;2014-09-13;Nice;Metz;1;0;H;2.25;3.1;3.4
F1;20140913;2014-09-13;Reims;Toulouse;2;0;H;2.88;3.3;2.4
F1;20140913;2014-09-13;Rennes;Paris SG;1;1;D;7;4;1.5
F1;20140913;2014-09-13;St Etienne;Caen;1;0;H;1.65;3.6;5.5
F1;20140914;2014-09-14;Evian Thonon Gaillard;Marseille;1;3;A;3.8;3.1;2.1
F1;20140914;2014-09-14;Guingamp;Bordeaux;2;1;H;2.75;2.88;2.8
F1;20140914;2014-09-14;Lille;Nantes;2;0;H;1.73;3.4;5.25
F1;20140919;2014-09-19;Bordeaux;Evian Thonon Gaillard;2;1;H;1.53;3.8;6.5
F1;20140920;2014-09-20;Lorient;Reims;0;1;A;1.75;3.4;5
F1;20140920;2014-09-20;Marseille;Rennes;3;0;H;1.57;3.75;6
F1;20140920;2014-09-20;Metz;Bastia;3;1;H;2.2;3.2;3.4
F1;20140920;2014-09-20;Nantes;Nice;2;1;H;1.83;3.25;4.75
F1;20140920;2014-09-20;Toulouse;Caen;3;3;D;2.25;3.1;3.4
F1;20140921;2014-09-21;Lens;St Etienne;0;1;A;3.4;3.25;2.15
F1;20140921;2014-09-21;Lille;Montpellier;0;0;D;1.8;3.4;4.75
F1;20140921;2014-09-21;Monaco;Guingamp;1;0;H;1.57;3.7;6.5
F1;20140921;2014-09-21;Paris SG;Lyon;1;1;D;1.33;5;9
F1;20140923;2014-09-23;Reims;Marseille;0;5;A;4;3.3;1.95
F1;20140923;2014-09-23;Rennes;Toulouse;0;3;A;2.25;3.25;3.25
F1;20140924;2014-09-24;Bastia;Nantes;0;0;D;2.4;3.2;3
F1;20140924;2014-09-24;Caen;Paris SG;0;2;A;6.5;4.2;1.5
F1;20140924;2014-09-24;Evian Thonon Gaillard;Lens;2;1;H;2.1;3.25;3.6
F1;20140924;2014-09-24;Guingamp;Metz;0;1;A;2.05;3.3;3.6
F1;20140924;2014-09-24;Lyon;Lorient;4;0;H;1.73;3.4;5.25
F1;20140924;2014-09-24;Montpellier;Monaco;0;1;A;3;3.2;2.38
F1;20140924;2014-09-24;Nice;Lille;1;0;H;3.6;3.2;2.1
F1;20140925;2014-09-25;St Etienne;Bordeaux;1;1;D;2.05;3.3;3.6
F1;20140927;2014-09-27;Lille;Bastia;1;0;H;1.53;3.8;6.5
F1;20140927;2014-09-27;Lorient;Evian Thonon Gaillard;0;2;A;1.85;3.4;4.33
F1;20140927;2014-09-27;Metz;Reims;3;0;H;2;3.2;4
F1;20140927;2014-09-27;Monaco;Nice;0;1;A;1.5;4;7
F1;20140927;2014-09-27;Montpellier;Guingamp;2;1;H;2;3.2;4
F1;20140927;2014-09-27;Toulouse;Paris SG;1;1;D;5.25;3.6;1.67
F1;20140928;2014-09-28;Bordeaux;Rennes;2;1;H;1.73;3.5;5
F1;20140928;2014-09-28;Lens;Caen;0;0;D;2.8;3.2;2.5
F1;20140928;2014-09-28;Marseille;St Etienne;2;1;H;1.85;3.5;4.2
F1;20140928;2014-09-28;Nantes;Lyon;1;1;D;2.75;3.1;2.63
F1;20141003;2014-10-03;Reims;Bordeaux;1;0;H;3.8;3.2;2.05
F1;20141004;2014-10-04;Bastia;Lorient;0;2;A;2.15;3.1;3.6
F1;20141004;2014-10-04;Caen;Marseille;1;2;A;4;3.3;1.95
F1;20141004;2014-10-04;Evian Thonon Gaillard;Metz;3;0;H;2.38;3.1;3.1
F1;20141004;2014-10-04;Nice;Montpellier;1;1;D;2.3;3.1;3.2
F1;20141004;2014-10-04;Rennes;Lens;2;0;H;1.83;3.4;4.5
F1;20141005;2014-10-05;Guingamp;Nantes;0;1;A;2.5;3;3
F1;20141005;2014-10-05;Lyon;Lille;3;0;H;2.1;3.1;3.8
F1;20141005;2014-10-05;Paris SG;Monaco;1;1;D;1.44;4.2;7.5
F1;20141005;2014-10-05;St Etienne;Toulouse;0;1;A;1.8;3.4;4.75
F1;20141017;2014-10-17;Lens;Paris SG;1;3;A;10;4.6;1.33
F1;20141018;2014-10-18;Lille;Guingamp;1;2;A;1.65;3.6;5.5
F1;20141018;2014-10-18;Lorient;St Etienne;0;1;A;3.1;3.1;2.38
F1;20141018;2014-10-18;Metz;Rennes;0;0;D;2.38;3.1;3.1
F1;20141018;2014-10-18;Monaco;Evian Thonon Gaillard;2;0;H;1.44;4.33;7
F1;20141018;2014-10-18;Nantes;Reims;1;1;D;1.62;3.4;6.5
F1;20141018;2014-10-18;Nice;Bastia;0;1;A;2.05;3.2;3.8
F1;20141019;2014-10-19;Bordeaux;Caen;1;1;D;1.95;3.3;4
F1;20141019;2014-10-19;Lyon;Montpellier;5;1;H;1.73;3.5;5
F1;20141019;2014-10-19;Marseille;Toulouse;2;0;H;1.67;3.6;5.25
F1;20141024;2014-10-24;Toulouse;Lens;0;2;A;1.57;3.6;6.5
F1;20141025;2014-10-25;Bastia;Monaco;1;3;A;3.6;3.25;2.1
F1;20141025;2014-10-25;Caen;Lorient;2;1;H;1.91;3.4;4
F1;20141025;2014-10-25;Evian Thonon Gaillard;Nantes;0;2;A;2.5;3.2;2.88
F1;20141025;2014-10-25;Paris SG;Bordeaux;3;0;H;1.4;4.6;7.5
F1;20141025;2014-10-25;Reims;Montpellier;1;0;H;2.63;3.1;2.8
F1;20141026;2014-10-26;Guingamp;Nice;2;7;A;2.2;3.1;3.5
F1;20141026;2014-10-26;Lyon;Marseille;1;0;H;2.4;3.3;2.88
F1;20141026;2014-10-26;Rennes;Lille;2;0;H;2.5;3.2;2.8
F1;20141026;2014-10-26;St Etienne;Metz;1;0;H;1.57;3.6;6.5
F1;20141031;2014-10-31;Monaco;Reims;1;1;D;1.44;4.2;7.5
F1;20141101;2014-11-01;Guingamp;Bastia;1;0;H;2.05;3.2;3.75
