Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20230811;2023-08-11;Nice;Lille;1;1;D;2.6;3.5;2.7
F1;20230812;2023-08-12;Marseille;Reims;2;1;H;1.7;4;4.75
F1;20230812;2023-08-12;Paris SG;Lorient;0;0;D;1.33;5.5;7.5
F1;20230813;2023-08-13;Brest;Lens;3;2;H;4;3.5;1.91
F1;20230813;2023-08-13;Clermont;Monaco;2;4;A;3.6;3.6;2
F1;20230813;2023-08-13;Montpellier;Le Havre;2;2;D;1.91;3.6;4
F1;20230813;2023-08-13;Nantes;Toulouse;1;2;A;2.5;3.4;2.75
F1;20230813;2023-08-13;Rennes;Metz;5;1;H;1.4;4.75;7.5
F1;20230813;2023-08-13;Strasbourg;Lyon;2;1;H;2.55;3.6;2.55
F1;20230818;2023-08-18;Metz;Marseille;2;2;D;5;4;1.67
F1;20230819;2023-08-19;Lyon;Montpellier;1;4;A;1.7;4.2;4.33
F1;20230819;2023-08-19;Toulouse;Paris SG;1;1;D;4.75;4.2;1.65
F1;20230820;2023-08-20;Lille;Nantes;2;0;H;1.4;5;7
F1;20230820;2023-08-20;Le Havre;Brest;1;2;A;2.7;3.2;2.7
F1;20230820;2023-08-20;Lorient;Nice;1;1;D;3.4;3.4;2.15
F1;20230820;2023-08-20;Reims;Clermont;2;0;H;1.85;3.75;4
F1;20230820;2023-08-20;Monaco;Strasbourg;3;0;H;1.8;4;4
F1;20230820;2023-08-20;Lens;Rennes;1;1;D;2.4;3.6;2.75
F1;20230825;2023-08-25;Nantes;Monaco;3;3;D;4.75;3.8;1.73
F1;20230826;2023-08-26;Marseille;Brest;2;0;H;1.5;4;6
F1;20230826;2023-08-26;Paris SG;Lens;3;1;H;1.6;4.2;5.5
F1;20230827;2023-08-27;Rennes;Le Havre;2;2;D;1.4;4.5;7.5
F1;20230827;2023-08-27;Clermont;Metz;0;1;A;1.85;3.6;4
F1;20230827;2023-08-27;Montpellier;Reims;1;3;A;2.4;3.4;2.9
F1;20230827;2023-08-27;Strasbourg;Toulouse;2;0;H;2.15;3.5;3.3
F1;20230827;2023-08-27;Lorient;Lille;4;1;H;4;3.6;1.91
F1;20230827;2023-08-27;Nice;Lyon;0;0;D;2.1;3.6;3.4
F1;20230901;2023-09-01;Nantes;Marseille;1;1;D;5;3.8;1.7
F1;20230902;2023-09-02;Brest;Rennes;0;0;D;3.3;3.5;2.15
F1;20230902;2023-09-02;Monaco;Lens;3;0;H;2.05;3.8;3.2
F1;20230903;2023-09-03;Toulouse;Clermont;2;2;D;2;3.6;3.75
F1;20230903;2023-09-03;Le Havre;Lorient;3;0;H;2.7;3.25;2.7
F1;20230903;2023-09-03;Lille;Montpellier;1;0;H;1.75;4;4.2
F1;20230903;2023-09-03;Metz;Reims;2;2;D;4.2;3.5;1.91
F1;20230903;2023-09-03;Nice;Strasbourg;2;0;H;1.91;3.5;4
F1;20230903;2023-09-03;Lyon;Paris SG;1;4;A;6;4.75;1.5
F1;20230915;2023-09-15;Paris SG;Nice;2;3;A;1.55;4.5;5.5
F1;20230916;2023-09-16;Rennes;Lille;2;2;D;2.1;3.6;3.3
F1;20230916;2023-09-16;Lens;Metz;0;1;A;1.5;4.33;6.5
F1;20230917;2023-09-17;Lorient;Monaco;2;2;D;4;3.75;1.85
F1;20230917;2023-09-17;Clermont;Nantes;0;1;A;2;3.6;3.6
F1;20230917;2023-09-17;Reims;Brest;1;2;A;1.85;3.6;4.2
F1;20230917;2023-09-17;Strasbourg;Montpellier;2;2;D;2.3;3.6;2.9
F1;20230917;2023-09-17;Marseille;Toulouse;0;0;D;1.5;4.75;6
F1;20230917;2023-09-17;Lyon;Le Havre;0;0;D;1.67;4;4.75
F1;20230922;2023-09-22;Monaco;Nice;0;1;A;2.15;3.6;3.2
F1;20230923;2023-09-23;Nantes;Lorient;5;3;H;2.38;3.4;3
F1;20230923;2023-09-23;Brest;Lyon;1;0;H;2.6;3.5;2.63
F1;20230924;2023-09-24;Metz;Strasbourg;0;1;A;2.88;3.25;2.45
F1;20230924;2023-09-24;Le Havre;Clermont;2;1;H;2.4;3.3;2.88
F1;20230924;2023-09-24;Lens;Toulouse;2;1;H;1.73;3.8;5
F1;20230924;2023-09-24;Montpellier;Rennes;0;0;D;2.7;3.5;2.5
F1;20230924;2023-09-24;Paris SG;Marseille;4;0;H;1.62;4.2;5.25
F1;20230926;2023-09-26;Lille;Reims;1;2;A;1.91;3.75;3.75
F1;20230929;2023-09-29;Strasbourg;Lens;0;1;A;3.5;3.4;2.05
F1;20230930;2023-09-30;Clermont;Paris SG;0;0;D;7.5;4.5;1.44
F1;20230930;2023-09-30;Monaco;Marseille;3;2;H;2.15;3.8;3.1
F1;20231001;2023-10-01;Reims;Lyon;2;0;H;2;3.8;3.4
F1;20231001;2023-10-01;Le Havre;Lille;0;2;A;4;3.5;1.95
F1;20231001;2023-10-01;Nice;Brest;0;0;D;1.73;3.8;4.5
F1;20231001;2023-10-01;Toulouse;Metz;3;0;H;2.1;3.6;3.4
F1;20231001;2023-10-01;Lorient;Montpellier;0;3;A;3;3.5;2.38
F1;20231001;2023-10-01;Rennes;Nantes;3;1;H;1.53;4.5;5.75
F1;20231006;2023-10-06;Strasbourg;Nantes;1;2;A;2.2;3.25;3.4
F1;20231007;2023-10-07;Metz;Nice;0;1;A;4.75;3.8;1.73
F1;20231007;2023-10-07;Reims;Monaco;1;3;A;2.6;3.6;2.55
F1;20231008;2023-10-08;Marseille;Le Havre;3;0;H;1.45;4.75;6
F1;20231008;2023-10-08;Brest;Toulouse;1;1;D;1.8;3.8;4.33
F1;20231008;2023-10-08;Lyon;Lorient;3;3;D;1.67;4.2;4.75
F1;20231008;2023-10-08;Lens;Lille;1;1;D;2.25;3.6;3
F1;20231008;2023-10-08;Rennes;Paris SG;1;3;A;3.4;3.6;2.05
F1;20231020;2023-10-20;Le Havre;Lens;0;0;D;4.5;3.5;1.83
F1;20231021;2023-10-21;Paris SG;Strasbourg;3;0;H;1.22;6.5;12
F1;20231021;2023-10-21;Nice;Marseille;1;0;H;2.4;3.3;3
F1;20231022;2023-10-22;Lorient;Rennes;2;1;H;3.8;3.8;1.85
F1;20231022;2023-10-22;Lille;Brest;1;0;H;1.8;3.5;4.75
F1;20231022;2023-10-22;Nantes;Montpellier;2;0;H;2.88;3.5;2.4
F1;20231022;2023-10-22;Toulouse;Reims;1;1;D;2.8;3.5;2.4
F1;20231022;2023-10-22;Monaco;Metz;2;1;H;1.33;5.5;8.5
F1;20231022;2023-10-22;Lyon;Clermont;1;2;A;1.75;3.75;4.5
F1;20231027;2023-10-27;Clermont;Nice;0;1;A;4.2;3.3;1.91
F1;20231028;2023-10-28;Reims;Lorient;1;0;H;1.67;4;5
F1;20231028;2023-10-28;Lens;Nantes;4;0;H;1.57;4.2;5.5
F1;20231029;2023-10-29;Brest;Paris SG;2;3;A;5.75;4.33;1.53
F1;20231029;2023-10-29;Lille;Monaco;2;0;H;2.25;3.75;2.9
F1;20231029;2023-10-29;Metz;Le Havre;0;0;D;2.5;3.3;2.8
F1;20231029;2023-10-29;Montpellier;Toulouse;3;0;H;1.75;4;4.5
F1;20231029;2023-10-29;Rennes;Strasbourg;1;1;D;1.57;4;6
F1;20231103;2023-11-03;Paris SG;Montpellier;3;0;H;1.25;6;10
F1;20231104;2023-11-04;Lorient;Lens;0;0;D;5;3.8;1.7
F1;20231104;2023-11-04;Marseille;Lille;0;0;D;2.25;3.5;3.1
F1;20231105;2023-11-05;Lyon;Metz;1;1;D;1.67;3.8;5.5
F1;20231105;2023-11-05;Nantes;Reims;0;1;A;2.88;3.2;2.55
F1;20231105;2023-11-05;Strasbourg;Clermont;0;0;D;2.38;3.2;3.1
F1;20231105;2023-11-05;Toulouse;Le Havre;1;2;A;2.2;3.3;3.4
F1;20231105;2023-11-05;Monaco;Brest;2;0;H;1.7;4;4.75
F1;20231105;2023-11-05;Nice;Rennes;2;0;H;2.05;3.4;3.6
F1;20231110;2023-11-10;Montpellier;Nice;0;0;D;3.5;3.3;2.15
F1;20231111;2023-11-11;Reims;Paris SG;0;3;A;5;4.33;1.6
F1;20231111;2023-11-11;Le Havre;Monaco;0;0;D;4.5;4;1.73
F1;20231112;2023-11-12;Clermont;Lorient;1;0;H;2.1;3.3;3.6
F1;20231112;2023-11-12;Lille;Toulouse;1;1;D;1.55;4.2;6
F1;20231112;2023-11-12;Metz;Nantes;3;1;H;2.9;3.25;2.5
F1;20231112;2023-11-12;Rennes;Lyon;0;1;A;1.73;4.2;4.33
F1;20231112;2023-11-12;Lens;Marseille;1;0;H;2.25;3.4;3.2
F1;20231124;2023-11-24;Paris SG;Monaco;5;2;H;1.45;4.75;6.5
F1;20231125;2023-11-25;Clermont;Lens;0;3;A;3.75;3.5;2
F1;20231125;2023-11-25;Strasbourg;Marseille;1;1;D;3.8;3.6;1.91
F1;20231126;2023-11-26;Nice;Toulouse;1;0;H;1.5;4;7.5
F1;20231126;2023-11-26;Lorient;Metz;2;3;A;1.95;3.5;4
F1;20231126;2023-11-26;Montpellier;Brest;1;3;A;2.3;3.4;3.1
F1;20231126;2023-11-26;Nantes;Le Havre;0;0;D;2.1;3.5;3.6
F1;20231126;2023-11-26;Rennes;Reims;3;1;H;2;3.6;3.75
F1;20231126;2023-11-26;Lyon;Lille;0;2;A;3;3.3;2.38
F1;20231129;2023-11-29;Montpellier;Clermont;1;1;D;1.91;3.6;4
F1;20231201;2023-12-01;Reims;Strasbourg;2;1;H;1.73;3.75;4.75
F1;20231202;2023-12-02;Lens;Lyon;3;2;H;1.7;4;4.75
F1;20231202;2023-12-02;Nantes;Nice;1;0;H;3.75;3.5;2
F1;20231203;2023-12-03;Le Havre;Paris SG;0;2;A;11;5.25;1.3
F1;20231203;2023-12-03;Brest;Clermont;3;0;H;1.75;3.6;4.5
F1;20231203;2023-12-03;Monaco;Montpellier;2;0;H;1.62;4.2;5
F1;20231203;2023-12-03;Toulouse;Lorient;1;1;D;2;3.25;4
F1;20231203;2023-12-03;Lille;Metz;2;0;H;1.45;4.5;7.5
F1;20231203;2023-12-03;Marseille;Rennes;2;0;H;1.91;3.8;3.8
F1;20231206;2023-12-06;Marseille;Lyon;3;0;H;1.67;3.8;4.75
